date,power,longitude,latitude,place
8/29/2018 5:01,2.5,37,129.32,경북 울진군 서쪽 7km 지역
8/24/2018 21:28,2.1,34.33,127.42,전남 고흥군 남남동쪽 34km 해역
8/24/2018 2:57,2.6,37.92,125.68,북한 황해남도 해주 남남서쪽 14km 지역
8/15/2018 3:01,2.7,37.3,130.92,경북 울릉군 울릉도 남쪽 21km 해역
8/10/2018 21:41,2.4,33.21,127.53,제주 서귀포시 동쪽 90km 해역
8/9/2018 0:23,2.1,37.03,125.27,충남 태안군 서격렬비도 북북서쪽 53km 해역
8/9/2018 0:21,2.1,37.03,125.3,충남 태안군 서격렬비도 북북서쪽 51km 해역
7/22/2018 13:59,2.6,33.43,125.93,제주 제주시 서쪽 56km 해역
7/21/2018 23:30,2.2,34.47,127.25,전남 고흥군 남남서쪽 16km 해역
7/20/2018 12:29,2.3,35.84,129.79,경북 포항시 남구 동남동쪽 43km 해역
7/20/2018 12:14,2.4,36.01,126.16,전북 군산시 어청도 남동쪽 21km 해역
7/19/2018 5:52,2.5,35.83,129.8,경북 포항시 남구 동남동쪽 44km 해역
7/17/2018 20:19,2.7,35.91,127.81,전북 무주군 남동쪽 17km 지역
7/4/2018 4:39,2.1,37.3,127.7,경기 여주시 동쪽 6km 지역
7/1/2018 15:33,2.2,37.63,129.48,강원 삼척시 북동쪽 34km 해역
6/28/2018 21:03,2.2,36.99,125.25,충남 태안군 서격렬비도 북북서쪽 50km 해역
6/28/2018 18:43,2.7,38.18,127.34,강원 철원군 북북동쪽 4km 지역
6/20/2018 23:06,2.1,34.9,124.81,전남 신안군 흑산면 서북서쪽 66km 해역
6/16/2018 21:05,2.3,37.19,129.08,강원 삼척시 남남서쪽 30km 지역
6/15/2018 11:10,2.1,36.39,128.49,경북 의성군 서북서쪽 19km 지역
6/9/2018 17:38,2.3,35.87,129.73,경북 포항시 남구 동남동쪽 37km 해역
5/31/2018 16:38,2.8,38.53,127.68,북한 강원 회양 남남동쪽 21km 지역
5/31/2018 0:13,2.6,36.22,129.38,경북 포항시 북구 북쪽 20km 지역
5/22/2018 0:12,2.2,36.37,129.49,경북 영덕군 동남동쪽 12km 해역
5/20/2018 13:58,2,34.16,125.61,전남 신안군 흑산면 남남동쪽 56km 해역
5/14/2018 2:07,2.5,33.62,125.58,제주 제주시 고산 서북서쪽 65km 해역
5/7/2018 1:52,2,36.72,128.37,경북 예천군 북서쪽 10km 지역
5/4/2018 19:20,2,36.1,127.7,충북 영동군 남서쪽 11km 지역
5/2/2018 12:34,2.5,36.56,127.64,충북 보은군 북서쪽 11km 지역
5/1/2018 19:09,2,35.77,129.2,경북 경주시 남쪽 8km 지역
4/24/2018 5:20,2.5,37.06,125.92,인천 옹진군 덕적도 남서쪽 27km 해역
4/23/2018 13:10,2.4,33.21,126.4,제주 서귀포시 서남서쪽 16km 해역
4/23/2018 4:31,2.3,41.35,129.12,북한 함경북도 길주 북북서쪽 47km 지역
4/9/2018 12:15,2.4,35.76,129.19,경북 경주시 남남서쪽 8km 지역
4/6/2018 21:09,2.6,36.08,129.82,경북 포항시 북구 동쪽 41km 해역
3/31/2018 0:20,2,36.1,129.36,경북 포항시 북구 북쪽 7km 지역
3/26/2018 9:40,2.7,37.78,124.83,인천 백령도 남동쪽 24km 해역
3/16/2018 18:02,2.7,36.1,129.35,경북 포항시 북구 북북서쪽 7km 지역
3/16/2018 0:23,2,36.98,128.42,충북 단양군 동남동쪽 5km 지역
3/10/2018 1:31,2.8,36.14,129.37,경북 포항시 북구 북쪽 11km 지역
3/9/2018 18:05,2.2,36.95,126.45,충남 서산시 북쪽 18km 지역
3/8/2018 23:38,2,35.31,127.32,전남 곡성군 북동쪽 4km 지역
3/8/2018 23:16,2,35.3,127.33,전남 곡성군 동북동쪽 4km 지역
3/4/2018 0:52,2.6,38.13,130.33,경북 울릉군 북서쪽 88km 해역
2/27/2018 13:14,2.2,37.02,124.87,충남 태안군 서격렬비도 북서쪽 75km 해역
2/26/2018 11:06,2.5,34.52,125.32,전남 신안군 흑산면 남서쪽 20km 해역
2/26/2018 2:23,2.4,33.97,126.87,전남 완도군 남남동쪽 39km 해역
2/18/2018 3:34,2.4,36.07,129.33,경북 포항시 북구 북서쪽 4km 지역
2/17/2018 23:38,2.2,36.1,129.35,경북 포항시 북구 북북서쪽 6km 지역
2/17/2018 21:31,2.6,36.09,129.33,경북 포항시 북구 북북서쪽 6km 지역
2/17/2018 18:35,2,36.11,129.37,경북 포항시 북구 북쪽 8km 지역
2/14/2018 2:14,2.3,37.8,125.38,북한 황해남도 옹진 남쪽 14km 해역
2/13/2018 10:32,2.2,36.12,129.37,경북 포항시 북구 북쪽 9km 지역
2/13/2018 6:30,2.6,36.07,129.33,경북 포항시 북구 북서쪽 5km 지역
2/11/2018 12:49,2.4,36.08,129.33,경북 포항시 북구 북서쪽 5km 지역
2/11/2018 12:14,2.1,36.08,129.32,경북 포항시 북구 북서쪽 6km 지역
2/11/2018 8:11,2.1,36.08,129.34,경북 포항시 북구 북북서쪽 5km 지역
2/11/2018 5:38,2.1,36.09,129.32,경북 포항시 북구 북서쪽 7km 지역
2/11/2018 5:18,2.1,36.07,129.32,경북 포항시 북구 북서쪽 5km 지역
2/11/2018 5:14,2.2,36.08,129.33,경북 포항시 북구 북서쪽 5km 지역
2/11/2018 5:12,2.2,36.07,129.34,경북 포항시 북구 북서쪽 4km 지역
2/11/2018 5:07,2.5,36.08,129.33,경북 포항시 북구 북서쪽 5km 지역
2/11/2018 5:03,4.6,36.08,129.33,경북 포항시 북구 북서쪽 5km 지역
2/10/2018 1:32,2.4,36.6,125.76,충남 태안군 서격렬비도 동쪽 20km 해역
2/9/2018 0:43,2.5,33.92,125.22,전남 신안군 흑산면 남남서쪽 85km 해역
2/8/2018 9:56,2.7,35.1,124.99,전남 신안군 흑산면 북서쪽 67km 해역
2/8/2018 6:46,2.7,41.32,129.09,북한 함경북도 길주 북북서쪽 45km 지역
2/6/2018 19:53,2.6,41.33,129.1,북한 함경북도 길주 북북서쪽 46km 지역
2/6/2018 9:18,2.5,36.08,129.33,경북 포항시 북구 북서쪽 5km 지역
2/4/2018 22:20,2.3,36.06,129.31,경북 포항시 북구 서북서쪽 5km 지역
2/4/2018 18:50,2.8,36.37,127.62,충북 옥천군 북북동쪽 8km 지역
2/4/2018 15:43,2.1,36.11,129.36,경북 포항시 북구 북쪽 8km 지역
2/3/2018 12:35,2.6,33.77,127.4,전남 여수시 거문도 남남동쪽 30km 해역
2/3/2018 11:12,2,36.14,129.36,경북 포항시 북구 북쪽 11km 지역
2/2/2018 12:21,2.9,36.12,129.37,경북 포항시 북구 북쪽 9km 지역
1/28/2018 20:07,3.2,40.24,127.3,북한 함경남도 장진 남남동쪽 16km 지역
1/24/2018 1:25,2.4,34.32,127.32,전남 여수시 거문도 북쪽 32km 해역
1/10/2018 18:42,2,36.26,127.34,대전 서구 남남서쪽 12km 지역
1/9/2018 16:17,2.1,33.98,127.11,전남 여수시 거문도 서남서쪽 19km 해역
